Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,10/26/2022,"PAYPAL           INST XFER                  WEB ID: PAYPALSI77",-100.00,ACH_DEBIT,462.81,,
DEBIT,10/24/2022,"PAYPAL *GITHUB INC 402-935-7733 CA           10/22",-10.00,DEBIT_CARD,562.81,,
DEBIT,10/24/2022,"AMZN Mktp US*HT23W0I Amzn.com/bill WA        10/22",-51.50,DEBIT_CARD,572.81,,
DEBIT,10/20/2022,"APPLE.COM/BILL 866-712-7753 CA               10/19",-15.99,DEBIT_CARD,624.31,,
DEBIT,10/19/2022,"Payment to Chase card ending in 3492 10/19",-152.76,ACCT_XFER,640.30,,
DEBIT,10/18/2022,"APPLE.COM/BILL 866-712-7753 CA               10/18",-2.99,DEBIT_CARD,793.06,,
CREDIT,10/18/2022,"Zelle payment from LIARA GONZALEZ 15574441568",460.00,QUICKPAY_CREDIT,796.05,,
DEBIT,10/18/2022,"AMZN Mktp US Amzn.com/bill WA                10/17",90.63,DEBIT_CARD,336.05,,
DEBIT,10/14/2022,"Online Transfer to SAV ...7765 transaction#: 15540924775 10/14",-300.00,ACCT_XFER,245.42,,
DEBIT,10/14/2022,"Payment to Chase card ending in 3492 10/14",-2411.18,ACCT_XFER,545.42,,
CREDIT,10/14/2022,"Online Transfer from SAV ...7765 transaction#: 15540897873",900.00,ACCT_XFER,2956.60,,
CREDIT,10/14/2022,"ABARCA HEALTH FL PAYROLL                    PPD ID: 6506940773",1906.86,ACH_CREDIT,2056.60,,
CREDIT,10/13/2022,"TD AMERITRADE    ACH OUT                    PPD ID: 5470533629",14.05,ACH_CREDIT,149.74,,
DEBIT,10/12/2022,"AMZN Mktp US*1K1XI69 Amzn.com/bill WA        10/11",-120.45,DEBIT_CARD,135.69,,
DEBIT,10/11/2022,"AMZN Mktp US*1K76G5P Amzn.com/bill WA        10/11",-4.59,DEBIT_CARD,256.14,,
DEBIT,10/11/2022,"Amazon.com*1K4NH5BG1 Amzn.com/bill WA        10/10",-12.10,DEBIT_CARD,260.73,,
CREDIT,10/11/2022,"Zelle payment from ALIUSKA VELA 15262470468",50.00,QUICKPAY_CREDIT,272.83,,
DEBIT,10/04/2022,"PAYPAL           INST XFER  EPIC GAMES      WEB ID: PAYPALSI77",-11.99,ACH_DEBIT,222.83,,
DEBIT,10/03/2022,"Amazon web services aws.amazon.co WA         10/03",-4.42,DEBIT_CARD,234.82,,
DEBIT,10/03/2022,"Payment to Chase card ending in 3492 10/03",-500.00,ACCT_XFER,239.24,,
DEBIT,10/03/2022,"ATT*BILL PAYMENT 800-288-2020 TX             10/02",-292.90,DEBIT_CARD,739.24,,
DEBIT,10/03/2022,"Zelle payment to Mama  15443848648",-1000.00,QUICKPAY_DEBIT,1032.14,,
DEBIT,10/03/2022,"ATT*BILL PAYMENT 800-288-2020 TX             10/02",-70.70,DEBIT_CARD,2032.14,,
CREDIT,10/03/2022,"Zelle payment from ROSIO C FERNANDEZ VELA 15208961961",60.00,QUICKPAY_CREDIT,2102.84,,
DEBIT,09/30/2022,"Prime Video*141XZ5NH1 888-802-3080 WA        09/30",-11.30,DEBIT_CARD,2042.84,,
CREDIT,09/30/2022,"ABARCA HEALTH FL PAYROLL                    PPD ID: 6506940773",1906.85,ACH_CREDIT,2054.14,,
DEBIT,09/29/2022,"Amazon Digit*149756O amzn.com/bill WA        09/29",-14.99,DEBIT_CARD,147.29,,
DEBIT,09/27/2022,"PAYPAL           INST XFER  UBER EATS       WEB ID: PAYPALSI77",-5.00,ACH_DEBIT,162.28,,
DEBIT,09/27/2022,"PAYPAL           INST XFER  UBER EATS       WEB ID: PAYPALSI77",-37.81,ACH_DEBIT,167.28,,
DEBIT,09/26/2022,"PAYPAL           INST XFER                  WEB ID: PAYPALSI77",-100.00,ACH_DEBIT,205.09,,
DEBIT,09/22/2022,"PAYPAL           INST XFER  BLIZZARDENT     WEB ID: PAYPALSI77",-69.99,ACH_DEBIT,305.09,,
DEBIT,09/22/2022,"Payment to Chase card ending in 3492 09/22",-400.00,ACCT_XFER,375.08,,
DEBIT,09/22/2022,"PAYPAL *GITHUB INC 402-935-7733 CA           09/22",-10.00,DEBIT_CARD,775.08,,
DEBIT,09/20/2022,"APPLE.COM/BILL 866-712-7753 CA               09/19",-15.99,DEBIT_CARD,785.08,,
DEBIT,09/19/2022,"APPLE.COM/BILL 866-712-7753 CA               09/18",-2.99,DEBIT_CARD,801.07,,
DEBIT,09/19/2022,"CASH APP*IGOR 8774174551 CA                  09/16",-20.00,DEBIT_CARD,804.06,,
DEBIT,09/19/2022,"AMZN Mktp US*1M09630 Amzn.com/bill WA        09/16",-36.37,DEBIT_CARD,824.06,,
DEBIT,09/16/2022,"Payment to Chase card ending in 3492 09/16",-1500.00,ACCT_XFER,860.43,,
CREDIT,09/16/2022,"ABARCA HEALTH FL PAYROLL                    PPD ID: 6506940773",1906.85,ACH_CREDIT,2360.43,,
DEBIT,09/13/2022,"Amazon.com*1M5ZW24G1 Amzn.com/bill WA        09/12",-18.71,DEBIT_CARD,453.58,,
CREDIT,09/12/2022,"Zelle payment from ALIUSKA VELA 15015444929",50.00,QUICKPAY_CREDIT,472.29,,
DEBIT,09/09/2022,"APPLE CASH 1INFINITELOOP CA                  09/08",100.00,DEBIT_CARD,422.29,,
DEBIT,09/08/2022,"Amazon.com*1F38I4FL0 Amzn.com/bill WA        09/07",-13.20,DEBIT_CARD,322.29,,
DEBIT,09/07/2022,"PAYPAL *STEAM GAMES 425-952-2985 WA          09/07",-9.99,DEBIT_CARD,335.49,,
DEBIT,09/06/2022,"Payment to Chase card ending in 3492 09/06",-500.00,ACCT_XFER,345.48,,
DEBIT,09/06/2022,"PAYPAL           INST XFER  EPIC GAMES      WEB ID: PAYPALSI77",-11.99,ACH_DEBIT,845.48,,
DEBIT,09/06/2022,"COINBASE, INC. 8325639309 CA                 09/05",-250.00,DEBIT_CARD,857.47,,
DEBIT,09/06/2022,"Amazon web services aws.amazon.co WA         09/03",-4.42,DEBIT_CARD,1107.47,,
DEBIT,09/06/2022,"ATT*BILL PAYMENT 800-288-2020 TX             09/03",-212.35,DEBIT_CARD,1111.89,,
DEBIT,09/06/2022,"APPLE CASH 1INFINITELOOP CA                  09/03",-100.00,DEBIT_CARD,1324.24,,
CREDIT,09/06/2022,"Zelle payment from ROSIO C FERNANDEZ VELA 14960947971",60.00,QUICKPAY_CREDIT,1424.24,,
DEBIT,09/02/2022,"PAYPAL           INST XFER  UBER EATS       WEB ID: PAYPALSI77",-4.00,ACH_DEBIT,1364.24,,
DEBIT,09/02/2022,"PAYPAL           INST XFER  UBER EATS       WEB ID: PAYPALSI77",-25.58,ACH_DEBIT,1368.24,,
DEBIT,09/02/2022,"Zelle payment to Mama  15201015126",-1000.00,QUICKPAY_DEBIT,1393.82,,
DEBIT,09/02/2022,"ATT*BILL PAYMENT 800-288-2020 TX             09/01",-70.70,DEBIT_CARD,2393.82,,
DEBIT,09/02/2022,"APPLE CASH 1INFINITELOOP CA                  09/01",-5.00,DEBIT_CARD,2464.52,,
CREDIT,09/02/2022,"ABARCA HEALTH FL PAYROLL                    PPD ID: 6506940773",1906.85,ACH_CREDIT,2469.52,,
DEBIT,08/31/2022,"VENMO            PAYMENT    1022068535945   WEB ID: 3264681992",-10.00,ACH_DEBIT,562.67,,
DEBIT,08/30/2022,"Prime Video*1V5G75PO1 888-802-3080 WA        08/30",-11.30,DEBIT_CARD,572.67,,
DEBIT,08/29/2022,"Payment to Chase card ending in 3492 08/29",-1000.00,ACCT_XFER,583.97,,
DEBIT,08/29/2022,"Amazon Digit*6N4646F amzn.com/bill WA        08/29",-14.99,DEBIT_CARD,1583.97,,
CREDIT,08/29/2022,"Online Transfer from SAV ...7765 transaction#: 15161204467",1000.00,ACCT_XFER,1598.96,,
DEBIT,08/26/2022,"AMZN Mktp US*4G8MR0I Amzn.com/bill WA        08/25",-81.53,DEBIT_CARD,598.96,,
DEBIT,08/25/2022,"Amazon.com*8J00V9N33 Amzn.com/bill WA        08/25",-9.44,DEBIT_CARD,680.49,,
DEBIT,08/25/2022,"AMZN Mktp US*D09CR5J Amzn.com/bill WA        08/25",-9.62,DEBIT_CARD,689.93,,
DEBIT,08/24/2022,"AMZN Mktp US*YZ0FZ1J Amzn.com/bill WA        08/24",-10.09,DEBIT_CARD,699.55,,
DEBIT,08/24/2022,"CANO HLTH - MED-PALMETT HIALEAH FL           08/23",-30.00,DEBIT_CARD,709.64,,
DEBIT,08/23/2022,"PAYPAL *GITHUB INC 402-935-7733 CA           08/22",-9.68,DEBIT_CARD,739.64,,
DEBIT,08/22/2022,"FOREIGN EXCHANGE RATE ADJUSTMENT FEE         08/19WWW.AUTOS",-2.19,FEE_TRANSACTION,749.32,,
DEBIT,08/22/2022,"PAYPAL           INST XFER  UBER EATS       WEB ID: PAYPALSI77",-6.42,ACH_DEBIT,751.51,,
DEBIT,08/22/2022,"PAYPAL           INST XFER  UBER EATS       WEB ID: PAYPALSI77",-64.28,ACH_DEBIT,757.93,,
DEBIT,08/22/2022,"PAYPAL           INST XFER                  WEB ID: PAYPALSI77",-400.00,ACH_DEBIT,822.21,,
DEBIT,08/22/2022,"AMERICAN AIR00106105499 FORT WORTH TX        08/20",-6.97,DEBIT_CARD,1222.21,,
DEBIT,08/22/2022,"AMERICAN AIR00106105499 FORT WORTH TX        08/20",-18.91,DEBIT_CARD,1229.18,,
DEBIT,08/22/2022,"WWW.AUTOSTRADE.IT-PAGAM ROMA                 08/19 Euro       71.70 X 1.019526 (EXCHG RTE)",-73.10,DEBIT_CARD,1248.09,,
DEBIT,08/22/2022,"APPLE.COM/BILL 866-712-7753 CA               08/19",-15.99,DEBIT_CARD,1321.19,,
DEBIT,08/19/2022,"Payment to Chase card ending in 3492 08/19",-1000.00,ACCT_XFER,1337.18,,
DEBIT,08/19/2022,"APPLE.COM/BILL 866-712-7753 CA               08/18",-2.99,DEBIT_CARD,2337.18,,
CREDIT,08/19/2022,"ABARCA HEALTH FL PAYROLL                    PPD ID: 6506940773",1906.85,ACH_CREDIT,2340.17,,
DEBIT,08/18/2022,"FOREIGN EXCHANGE RATE ADJUSTMENT FEE         08/17FARMACIA",-0.42,FEE_TRANSACTION,433.32,,
DEBIT,08/18/2022,"FARMACIA FRANCHI FIRENZE                     08/17 Euro       14.00 X 1.020000 (EXCHG RTE)",-14.28,DEBIT_CARD,433.74,,
DEBIT,08/17/2022,"ELVIS ZGURA      IAT PAYPAL 1021825085736   WEB ID: 770510487C",-35.69,ACH_DEBIT,448.02,,
DEBIT,08/15/2022,"Payment to Chase card ending in 3492 08/15",-600.00,ACCT_XFER,483.71,,
CREDIT,08/15/2022,"Zelle payment from ROSIO C FERNANDEZ VELA 15049867439",600.00,QUICKPAY_CREDIT,1083.71,,
DEBIT,08/12/2022,"AAA ACG FL0088R MIAMI FL                     08/11",-32.84,DEBIT_CARD,483.71,,
CREDIT,08/10/2022,"Zelle payment from LIARA GONZALEZ 15021983538",50.00,QUICKPAY_CREDIT,516.55,,
CREDIT,08/10/2022,"Zelle payment from ALIUSKA VELA 14776422003",50.00,QUICKPAY_CREDIT,466.55,,
DEBIT,08/08/2022,"PAYPAL           INST XFER  DING EZETOP     WEB ID: PAYPALSI77",-25.38,ACH_DEBIT,416.55,,
DEBIT,08/08/2022,"Amazon.com*5S9YW28E3 Amzn.com/bill WA        08/07",-12.10,DEBIT_CARD,441.93,,
DEBIT,08/05/2022,"Payment to Chase card ending in 3492 08/05",-600.00,ACCT_XFER,454.03,,
DEBIT,08/05/2022,"Zelle payment to Mama  14981390813",-1000.00,QUICKPAY_DEBIT,1054.03,,
CREDIT,08/05/2022,"ABARCA HEALTH FL PAYROLL                    PPD ID: 6506940773",1906.85,ACH_CREDIT,2054.03,,
DEBIT,08/04/2022,"PAYPAL           INST XFER  EPIC GAMES      WEB ID: PAYPALSI77",-11.99,ACH_DEBIT,147.18,,
DEBIT,08/03/2022,"Amazon web services aws.amazon.co WA         08/03",-4.42,DEBIT_CARD,159.17,,
DEBIT,08/03/2022,"ATT*BILL PAYMENT 800-288-2020 TX             08/02",-220.46,DEBIT_CARD,163.59,,
DEBIT,08/03/2022,"APPLE CASH 877-233-8552 CA                   08/02",-30.00,DEBIT_CARD,384.05,,
CREDIT,08/03/2022,"Zelle payment from ROSIO C FERNANDEZ VELA 14724255348",60.00,QUICKPAY_CREDIT,414.05,,
DEBIT,08/02/2022,"ATT*BILL PAYMENT 800-288-2020 TX             08/01",-70.70,DEBIT_CARD,354.05,,
DEBIT,08/01/2022,"Prime Video*AD19A0GO3 888-802-3080 WA        07/30",-11.30,DEBIT_CARD,424.75,,
DEBIT,08/01/2022,"AMZN Mktp US*NR0ES5K Amzn.com/bill WA        07/30",-24.43,DEBIT_CARD,436.05,,
CREDIT,08/01/2022,"Zelle payment from ELIA ARMAS BACh4k02lc81",73.00,PARTNERFI_TO_CHASE,460.48,,
DEBIT,07/29/2022,"PAYPAL           INST XFER  EPIC GAMES      WEB ID: PAYPALSI77",-9.99,ACH_DEBIT,387.48,,
DEBIT,07/29/2022,"Amazon Digit*329DR3O amzn.com/bill WA        07/29",-14.99,DEBIT_CARD,397.47,,
DEBIT,07/28/2022,"PAYPAL           INST XFER  UBER EATS       WEB ID: PAYPALSI77",-3.00,ACH_DEBIT,412.46,,
DEBIT,07/28/2022,"PAYPAL           INST XFER  UBER EATS       WEB ID: PAYPALSI77",-19.07,ACH_DEBIT,415.46,,
DEBIT,07/27/2022,"AMZN Mktp US*L08HA8T Amzn.com/bill WA        07/27",-26.89,DEBIT_CARD,434.53,,
DEBIT,07/26/2022,"COINBASE, INC. 8325639309 CA                 07/25",-258.00,DEBIT_CARD,461.42,,
DEBIT,07/25/2022,"PAYPAL           INST XFER                  WEB ID: PAYPALSI77",-500.00,ACH_DEBIT,719.42,,
DEBIT,07/25/2022,"AMZN Mktp US*HX6XE8K Amzn.com/bill WA        07/25",-39.04,DEBIT_CARD,1219.42,,
DEBIT,07/25/2022,"Online Transfer to CHK ...8871 transaction#: 14881640044 07/25",-1000.00,ACCT_XFER,1258.46,,
DEBIT,07/22/2022,"CASH APP*ROBERTO RO 8774174551 CA            07/21",-15.00,DEBIT_CARD,2258.46,,
DEBIT,07/22/2022,"PAYPAL *NIKONTBSK8 402-935-7733 CA           07/21",-25.00,DEBIT_CARD,2273.46,,
DEBIT,07/22/2022,"CASH APP*ALEX ROSE 8774174551 CA             07/21",-21.00,DEBIT_CARD,2298.46,,
CREDIT,07/22/2022,"ABARCA HEALTH FL PAYROLL                    PPD ID: 6506940773",1906.85,ACH_CREDIT,2319.46,,
DEBIT,07/21/2022,"Payment to Chase card ending in 3492 07/21",-500.00,ACCT_XFER,412.61,,
DEBIT,07/19/2022,"PAYPAL *LIFESPANINC 408-627-0523 CA          07/19",-18.60,DEBIT_CARD,912.61,,
DEBIT,07/18/2022,"PAYPAL *JEIMY.FIGUERO 402-935-7733 CA        07/17",-2.00,DEBIT_CARD,931.21,,
DEBIT,07/18/2022,"PAYPAL *JEIMY.FIGUERO 402-935-7733 CA        07/17",-10.00,DEBIT_CARD,933.21,,
DEBIT,07/15/2022,"PAYPAL           INST XFER  BLIZZARDENT     WEB ID: PAYPALSI77",-10.00,ACH_DEBIT,943.21,,
CREDIT,07/15/2022,"Zelle payment from LIARA GONZALEZ 14821974912",280.00,QUICKPAY_CREDIT,953.21,,
DEBIT,07/14/2022,"PAYPAL           INST XFER                  WEB ID: PAYPALSI77",-274.00,ACH_DEBIT,673.21,,
CREDIT,07/14/2022,"Zelle payment from ALIUSKA VELA 14805523201",300.00,QUICKPAY_CREDIT,947.21,,
CREDIT,07/13/2022,"Zelle payment from ROSIO C FERNANDEZ VELA 14798808857",180.00,QUICKPAY_CREDIT,647.21,,
DEBIT,07/11/2022,"Payment to Chase card ending in 3492 07/11",-500.00,ACCT_XFER,467.21,,
CREDIT,07/11/2022,"Zelle payment from ALIUSKA VELA 14543686952",50.00,QUICKPAY_CREDIT,967.21,,
DEBIT,07/08/2022,"Online Transfer to CHK ...8871 transaction#: 14767763364 07/08",-1000.00,ACCT_XFER,917.21,,
DEBIT,07/08/2022,"PAYPAL           INST XFER  AIRBNB  TAWTXN8 WEB ID: PAYPALSI77",-71.50,ACH_DEBIT,1917.21,,
DEBIT,07/08/2022,"AMZN Mktp US*PG3DD8N Amzn.com/bill WA        07/07",-9.62,DEBIT_CARD,1988.71,,
DEBIT,07/08/2022,"Amazon.com*IA74L2F73 Amzn.com/bill WA        07/07",-9.20,DEBIT_CARD,1998.33,,
CREDIT,07/08/2022,"ABARCA HEALTH FL PAYROLL                    PPD ID: 6506940773",1906.84,ACH_CREDIT,2007.53,,
DEBIT,07/07/2022,"AMZN Mktp US*WL18W9I Amzn.com/bill WA        07/06",-16.04,DEBIT_CARD,100.69,,
DEBIT,07/07/2022,"Amazon.com*TI1VL09Q3 Amzn.com/bill WA        07/06",-16.69,DEBIT_CARD,116.73,,
DEBIT,07/05/2022,"Zelle payment to Manny Panties 14741361099",-50.00,QUICKPAY_DEBIT,133.42,,
DEBIT,07/05/2022,"PAYPAL           INST XFER  EPIC GAMES      WEB ID: PAYPALSI77",-11.99,ACH_DEBIT,183.42,,
DEBIT,07/05/2022,"Zelle payment to Valet The Ivy 14729102170",-10.00,QUICKPAY_DEBIT,195.41,,
DEBIT,07/05/2022,"Zelle payment to Vallet JPM999dlx3sm",-10.00,CHASE_TO_PARTNERFI,205.41,,
DEBIT,07/05/2022,"Zelle payment to Mama  14727220130",-1000.00,QUICKPAY_DEBIT,215.41,,
DEBIT,07/05/2022,"CASH APP*LESTER MOL 8774174551 CA            07/03",-30.00,DEBIT_CARD,1215.41,,
DEBIT,07/05/2022,"ATT*BILL PAYMENT 800-288-2020 TX             07/03",-70.70,DEBIT_CARD,1245.41,,
DEBIT,07/05/2022,"AMZN Mktp US*5G2QY37 Amzn.com/bill WA        07/04",-27.80,DEBIT_CARD,1316.11,,
DEBIT,07/05/2022,"TST* Moshi Moshi MIMO Miami FL               07/02",-66.96,DEBIT_CARD,1343.91,,
DEBIT,07/05/2022,"ATT*BILL PAYMENT 800-288-2020 TX             07/02",-210.67,DEBIT_CARD,1410.87,,
DEBIT,07/05/2022,"Amazon web services aws.amazon.co WA         07/02",-4.42,DEBIT_CARD,1621.54,,
CREDIT,07/05/2022,"Zelle payment from ROSIO C FERNANDEZ VELA 14490331520",60.00,QUICKPAY_CREDIT,1625.96,,
DEBIT,06/30/2022,"Prime Video*ZG5WA6WP3 888-802-3080 WA        06/30",-11.30,DEBIT_CARD,1565.96,,
DEBIT,06/29/2022,"Amazon Digit*P34D09W amzn.com/bill WA        06/29",-14.99,DEBIT_CARD,1577.26,,
DEBIT,06/27/2022,"Zelle payment to Bry JPM999dbtxyc",-60.00,CHASE_TO_PARTNERFI,1592.25,,
DEBIT,06/24/2022,"Payment to Chase card ending in 3492 06/24",-1560.11,ACCT_XFER,1652.25,,
DEBIT,06/24/2022,"PAYPAL           INST XFER  EPIC GAMES      WEB ID: PAYPALSI77",-31.99,ACH_DEBIT,3212.36,,
CREDIT,06/24/2022,"ABARCA HEALTH FL DIRECT DEP                 PPD ID: 9444444404",1890.19,ACH_CREDIT,3244.35,,
DEBIT,06/23/2022,"Zelle payment to Kiki 14643048489",-60.00,QUICKPAY_DEBIT,1354.16,,
CREDIT,06/23/2022,"Zelle payment from LIARA GONZALEZ 14643062908",70.00,QUICKPAY_CREDIT,1414.16,,
DEBIT,06/21/2022,"APPLE.COM/BILL 866-712-7753 CA               06/18",-2.99,DEBIT_CARD,1344.16,,
DEBIT,06/13/2022,"Payment to Chase card ending in 3492 06/13",-1000.00,ACCT_XFER,1347.15,,
DEBIT,06/13/2022,"Zelle payment to Nizar Taki 14568045876",-70.00,QUICKPAY_DEBIT,2347.15,,
DEBIT,06/13/2022,"Zelle payment to Valet Mint 14565324415",-7.00,QUICKPAY_DEBIT,2417.15,,
DEBIT,06/13/2022,"Zelle payment to Kiki 14558309988",-80.00,QUICKPAY_DEBIT,2424.15,,
DEBIT,06/10/2022,"Payment to Chase card ending in 3492 06/10",-700.00,ACCT_XFER,2504.15,,
DEBIT,06/10/2022,"SQ *SCHNEBLY REDLAND'S gosq.com FL           06/10",-32.10,DEBIT_CARD,3204.15,,
CREDIT,06/10/2022,"Zelle payment from ALIUSKA VELA 14308657687",50.00,QUICKPAY_CREDIT,3236.25,,
CREDIT,06/10/2022,"ABARCA HEALTH FL DIRECT DEP                 PPD ID: 9111111102",1890.18,ACH_CREDIT,3186.25,,
DEBIT,06/09/2022,"PAYPAL           INST XFER  EPIC GAMES      WEB ID: PAYPALSI77",-15.99,ACH_DEBIT,1296.07,,
DEBIT,06/09/2022,"CAFE TROPICAL CUBAN MIAMI GARDENS FL         06/08",-27.57,DEBIT_CARD,1312.06,,
DEBIT,06/06/2022,"PAYPAL           INST XFER  EPIC GAMES      WEB ID: PAYPALSI77",-11.99,ACH_DEBIT,1339.63,,
DEBIT,06/06/2022,"PAYPAL           INST XFER  EPIC GAMES      WEB ID: PAYPALSI77",-22.49,ACH_DEBIT,1351.62,,
DEBIT,06/06/2022,"Amazon web services aws.amazon.co WA         06/06",-5.00,DEBIT_CARD,1374.11,,
DEBIT,06/06/2022,"AMZN Mktp US*JB0HS7M Amzn.com/bill WA        06/04",-82.37,DEBIT_CARD,1379.11,,
DEBIT,06/03/2022,"Zelle payment to Manny Panties 14499505622",-40.00,QUICKPAY_DEBIT,1461.48,,
DEBIT,06/03/2022,"Amazon web services aws.amazon.co WA         06/02",-3.92,DEBIT_CARD,1501.48,,
DEBIT,06/03/2022,"ATT*BILL PAYMENT 800-288-2020 TX             06/02",-244.28,DEBIT_CARD,1505.40,,
CREDIT,06/03/2022,"Zelle payment from ROSIO C FERNANDEZ VELA 14254693084",60.00,QUICKPAY_CREDIT,1749.68,,
DEBIT,06/02/2022,"Payment to Chase card ending in 3492 06/02",-900.00,ACCT_XFER,1689.68,,
DEBIT,06/02/2022,"ATT*BILL PAYMENT 800-288-2020 TX             06/01",-70.70,DEBIT_CARD,2589.68,,
CREDIT,06/02/2022,"ABARCA FL DESEMB PAYMENTS   1218            CCD ID: 2812305300",975.47,ACH_CREDIT,2660.38,,
DEBIT,06/01/2022,"Payment to Chase card ending in 3492 06/01",-100.00,ACCT_XFER,1684.91,,
DEBIT,06/01/2022,"Zelle payment to Mama  14474398168",-1000.00,QUICKPAY_DEBIT,1784.91,,
DEBIT,05/31/2022,"PAYPAL           INST XFER  EPIC GAMES      WEB ID: PAYPALSI77",-7.99,ACH_DEBIT,2784.91,,
DEBIT,05/31/2022,"Prime Video*1X5AV8F20 888-802-3080 WA        05/30",-11.30,DEBIT_CARD,2792.90,,
DEBIT,05/31/2022,"PAYPAL *JETBRAINSAM 402-935-7733 CA          05/30",-52.91,DEBIT_CARD,2804.20,,
DEBIT,05/31/2022,"Amazon Digit*1R0JT6Y amzn.com/bill WA        05/29",-14.99,DEBIT_CARD,2857.11,,
CREDIT,05/31/2022,"Zelle payment from JESUS NASSER WFCT0QGTPZ6W",12.00,PARTNERFI_TO_CHASE,2872.10,,
CREDIT,05/27/2022,"ABARCA HEALTH FL DIRECT DEP                 PPD ID: 9444444404",1890.18,ACH_CREDIT,2860.10,,
DEBIT,05/26/2022,"PAYPAL           INST XFER                  WEB ID: PAYPALSI77",-103.00,ACH_DEBIT,969.92,,
DEBIT,05/26/2022,"SPRINGS RETAIL CORP MIAMI FL                 05/25",-47.06,DEBIT_CARD,1072.92,,
DEBIT,05/24/2022,"Payment to Chase card ending in 3492 05/24",-60.00,ACCT_XFER,1119.98,,
DEBIT,05/24/2022,"FOOD STORES MIAMI GARDENS FL                 05/22",-16.64,DEBIT_CARD,1179.98,,
DEBIT,05/23/2022,"Prime Video*1X6BT83W1 888-802-3080 WA        05/22",-4.52,DEBIT_CARD,1196.62,,
DEBIT,05/23/2022,"Payment to Chase card ending in 3492 05/23",-40.00,ACCT_XFER,1201.14,,
DEBIT,05/19/2022,"Prime Video*1R8QS5701 888-802-3080 WA        05/19",-4.52,DEBIT_CARD,1241.14,,
DEBIT,05/19/2022,"APPLE.COM/BILL 866-712-7753 CA               05/19",-2.99,DEBIT_CARD,1245.66,,
DEBIT,05/16/2022,"Payment to Chase card ending in 3492 05/16",-1500.00,ACCT_XFER,1248.65,,
DEBIT,05/16/2022,"PAYPAL           INST XFER  UBER EATS       WEB ID: PAYPALSI77",-4.41,ACH_DEBIT,2748.65,,
DEBIT,05/16/2022,"PAYPAL           INST XFER  UBER EATS       WEB ID: PAYPALSI77",-29.42,ACH_DEBIT,2753.06,,
DEBIT,05/16/2022,"Zelle payment to Kiki 14343758585",-440.00,QUICKPAY_DEBIT,2782.48,,
DEBIT,05/16/2022,"CASH APP*LESTER MOL 8774174551 CA            05/13",-23.00,DEBIT_CARD,3222.48,,
CREDIT,05/16/2022,"Zelle payment from LIARA GONZALEZ 14348197270",15.00,QUICKPAY_CREDIT,3245.48,,
CREDIT,05/16/2022,"Zelle payment from ALFREDO BERMUDEZ WFCT0QFY5KQQ",80.00,PARTNERFI_TO_CHASE,3230.48,,
DEBIT,05/16/2022,"Cash App*Cash Out VISA DIRECT CA     875141  05/15",113.28,DEBIT_CARD,3150.48,,
CREDIT,05/16/2022,"Zelle payment from MANNY ALFONSO 14346788544",140.00,QUICKPAY_CREDIT,3037.20,,
CREDIT,05/16/2022,"Zelle payment from DAMIAN RODRIGUEZ WFCT0QFY5F9K",186.00,PARTNERFI_TO_CHASE,2897.20,,
CREDIT,05/16/2022,"Zelle payment from ROSIO C FERNANDEZ VELA 14344536347",193.00,QUICKPAY_CREDIT,2711.20,,
CREDIT,05/16/2022,"Zelle payment from PAULO ALFONSO WFCT0QFY5CR5",200.00,PARTNERFI_TO_CHASE,2518.20,,
CREDIT,05/13/2022,"ABARCA HEALTH FL DIRECT DEP                 PPD ID: 9111111102",1890.19,ACH_CREDIT,2318.20,,
DEBIT,05/10/2022,"Zelle payment to Kiki 14314599719",-135.00,QUICKPAY_DEBIT,428.01,,
CREDIT,05/10/2022,"Zelle payment from ALIUSKA VELA 14050338408",50.00,QUICKPAY_CREDIT,563.01,,
DEBIT,05/06/2022,"SPRINGS RETAIL CORP MIAMI FL                 05/05",-51.34,DEBIT_CARD,513.01,,
DEBIT,05/05/2022,"07446 YF CORAL WAY CORAL GABLES FL           05/03",-2.99,DEBIT_CARD,564.35,,
DEBIT,05/04/2022,"PAYPAL *ITCH IO 631-681-1337 CA              05/04",-2.00,DEBIT_CARD,567.34,,
DEBIT,05/04/2022,"ATT*BILL PAYMENT 800-288-2020 TX             05/03",-70.20,DEBIT_CARD,569.34,,
DEBIT,05/04/2022,"ATT*BILL PAYMENT 800-288-2020 TX             05/03",-223.28,DEBIT_CARD,639.54,,
DEBIT,05/03/2022,"Online Transfer to CHK ...8871 transaction#: 14260467321 05/03",-1000.00,ACCT_XFER,862.82,,
DEBIT,05/03/2022,"MCDONALD'S F6486 MIAMI FL                    05/02",-8.38,DEBIT_CARD,1862.82,,
DEBIT,05/03/2022,"Amazon web services aws.amazon.co WA         05/02",-3.92,DEBIT_CARD,1871.20,,
DEBIT,05/03/2022,"LUNG YAI THAI TAPAS MIAMI FL                 05/02",-173.88,DEBIT_CARD,1875.12,,
CREDIT,05/03/2022,"Zelle payment from ROSIO C FERNANDEZ VELA 14029027757",60.00,QUICKPAY_CREDIT,2049.00,,
DEBIT,05/02/2022,"AC HOTEL MIAMI WYNWOOD MIAMI FL              05/01",-24.13,DEBIT_CARD,1989.00,,
DEBIT,05/02/2022,"MCDONALD'S F6204 MIAMI GARDENS FL            05/01",-6.95,DEBIT_CARD,2013.13,,
